"","name","value","nombre","usuario","fecha","retweets","like","replies","texto","hashtags","ctasMencionadas","nombres_propios"
"3551",3551,"pekin65  @pekin65 1h 1 hour ago More Renuncia Carlos Urzúa a la Secretaría de Hacienda https://www.eluniversal.com.mx/nacion/politica/renuncia-carlos-urzua-la-secretaria-de-hacienda … vía @El_Universal_Mx Reply Retweet Like","pekin65  ","@pekin65 ","2019-07-09",NA,NA,NA,"Renuncia Carlos Urzúa a la Secretaría de Hacienda https://www.eluniversal.com.mx/nacion/politica/renuncia-carlos-urzua-la-secretaria-de-hacienda … vía @El_Universal_Mx","","@El_Universal_Mx","Renuncia, Carlos, Urzúa, Secretaría, Hacienda"
"3552",3552,"ADG Inversiones  @ADG_Inversiones 1h 1 hour ago More Replying to @El_Universal_Mx No mmn, ponen lo que menos importa de la carta que publico el Dr. Urzúa. Reply 1 Retweet Like","ADG Inversiones  ","@ADG_Inversiones ","2019-07-09",NA,NA,NA,"REPLYING TO @El_Universal_Mx No mmn, ponen lo que menos importa de la carta que publico el Dr. Urzúa.","","@El_Universal_Mx","No, Dr, Urzúa"
"3553",3553,"YeiYei   🇲🇽  @Unfifms1 1h 1 hour ago More Replying to @CarlosUrzuaSHCP Empiezan a saltar del barco. No creyó en el amiguísimo del Presidente y el extremismo de su mentada 4T, que va acabando con el país. Bien Urzúa, pero se tardó. Reply Retweet 1 Like 3","YeiYei   ","@Unfifms1 ","2019-07-09",1,3,NA,"🇲🇽REPLYING TO @CarlosUrzuaSHCP Empiezan a saltar del barco. No creyó en el amiguísimo del Presidente y el extremismo de su mentada 4T, que va acabando con el país. Bien Urzúa, pero se tardó.","","@CarlosUrzuaSHCP","Empiezan, No, Presidente, Bien, Urzúa"
"3554",3554,"Mundo Tamaulipas  @MundoTamaulipas 1h 1 hour ago More #Nacional Carlos Urzúa renuncia a la Secretaría de Hacienda  http://mundotamaulipas.com/noticia.php?idnoticia=19060 … Reply Retweet Like","Mundo Tamaulipas  ","@MundoTamaulipas ","2019-07-09",NA,NA,NA,"#Nacional Carlos Urzúa renuncia a la Secretaría de Hacienda  http://mundotamaulipas.com/noticia.php?idnoticia=19060 …","#Nacional","","Nacional, Carlos, Urzúa, Secretaría, Hacienda"
"3555",3555,"Adolfo Toledo  @AdolfoToledo_ 1h 1 hour ago More Peso y BMV caen tras renuncia del secretario de Hacienda, Carlos Urzúa.  https://www.milenio.com/negocios/carlos-urzua-cae-peso-bmv-renuncia-secretario-hacienda … Reply Retweet 4 Like 1","Adolfo Toledo  ","@AdolfoToledo_ ","2019-07-09",4,1,NA,"Peso y BMV caen tras renuncia del secretario de Hacienda, Carlos Urzúa.  https://www.milenio.com/negocios/carlos-urzua-cae-peso-bmv-renuncia-secretario-hacienda …","","","Peso, BMV, Hacienda, Carlos, Urzúa"
"3556",3556,"Nury Nuño  @_nurynuno 1h 1 hour ago More Carlos Urzúa renuncia a la Secretaría de Hacienda; acusa decisiones de política pública sin sustento https://www.eleconomista.com.mx/economia/Carlos-Urzua-renuncia-a-la-Secretaria-de-Hacienda-acusa-decisiones-de-politica-publica-sin-sustento-20190709-0076.html … vía @https://twitter.com/eleconomista Reply Retweet Like","Nury Nuño  ","@_nurynuno ","2019-07-09",NA,NA,NA,"Carlos Urzúa renuncia a la Secretaría de Hacienda; acusa decisiones de política pública sin sustento https://www.eleconomista.com.mx/economia/Carlos-Urzua-renuncia-a-la-Secretaria-de-Hacienda-acusa-decisiones-de-politica-publica-sin-sustento-20190709-0076.html … vía @https://twitter.com/eleconomista","","@https","Carlos, Urzúa, Secretaría, Hacienda, Carlos, Urzua, Secretaria, Hacienda"
"3557",3557,"Verdad_oaxaca  @oaxaca_verdad 1h 1 hour ago More Replying to @lopezobrador_ Jajajjaaj no le habían informado de la carta de Carlos Urzua, donde claramente se evidencia la corrupción de este gobierno Reply Retweet Like","Verdad_oaxaca  ","@oaxaca_verdad ","2019-07-09",NA,NA,NA,"REPLYING TO @lopezobrador_ Jajajjaaj no le habían informado de la carta de Carlos Urzua, donde claramente se evidencia la corrupción de este gobierno","","@lopezobrador_","Jajajjaaj, Carlos, Urzua"
"3558",3558,"Francisco Huízar  @JMhuizar 1h 1 hour ago More Carlos Urzúa renuncia a la Secretaría de Hacienda  Reply Retweet Like","Francisco Huízar  ","@JMhuizar ","2019-07-09",NA,NA,NA,"Carlos Urzúa renuncia a la Secretaría de Hacienda","","","Carlos, Urzúa, Secretaría, Hacienda"
"3559",3559,"Galván   🇲🇽  @JorgeMGalvan 1h 1 hour ago More Replying to @Teh_Flow No va a oponerse a las imposiciones que acusa Urzua. Será la confirmación de que quienes mandan en hacienda son los radicales de los recortes y las ocurrencias Reply 1 Retweet Like","Galván   ","@JorgeMGalvan ","2019-07-09",NA,NA,NA,"🇲🇽REPLYING TO @Teh_Flow No va a oponerse a las imposiciones que acusa Urzua. Será la confirmación de que quienes mandan en hacienda son los radicales de los recortes y las ocurrencias","","@Teh_Flow","No, Urzua, Será"
"3560",3560,"unPRIbotmas  @ibotmas 1h 1 hour ago More unPRIbotmas Retweeted Carlos Urzúa La carta de renuncia del Sr. Carlos Urzúa como Sectetario de Hacienda, no es más que una muestra fiel de cómo está llevando el Gobierno (que no requiere ninguna ciencia) del Presidente López Obrador. #VamosBien  unPRIbotmas added, Carlos Urzúa Verified account  @CarlosUrzuaSHCP Agradezco la oportunidad de haber podido servir a México.  Reply Retweet Like","unPRIbotmas  ","@ibotmas ","2019-07-09",NA,NA,NA,"unPRIbotmas Retweeted Carlos Urzúa La carta de renuncia del Sr. Carlos Urzúa como Sectetario de Hacienda, no es más que una muestra fiel de cómo está llevando el Gobierno (que no requiere ninguna ciencia) del Presidente López Obrador. #VamosBien  unPRIbotmas added, Carlos Urzúa Verified account  @CarlosUrzuaSHCP Agradezco la oportunidad de haber podido servir a México.","#VamosBien","@CarlosUrzuaSHCP","PRIbotmas, Retweeted, Carlos, Urzúa, La, Sr, Carlos, Urzúa, Sectetario, Hacienda, Gobierno, Presidente, López, Obrador, VamosBien, PRIbotmas, Carlos, Urzúa, Verified, Agradezco, México"
